gene	ensg	P_withShet	beta_withShet	betaSE_withShet	P_pearson	R_pearson	R_pearson_CIlower	R_pearson_CIupper
TSPAN6	ENSG00000000003	0.986855183668537	0.000158328618615442	0.00960981839213025	0.878478030051749	0.00147698996179631	-0.0174547723805583	0.0204076936203015
DPM1	ENSG00000000419	0.00694314701106463	-0.0259452810244427	0.00960907536316058	0.0030402600441743	-0.0286226371861387	-0.0475281577204262	-0.00969661713995519
SCYL3	ENSG00000000457	0.463537614163088	0.00704391565841729	0.00960891553545815	0.432246309456662	0.0075863430176232	-0.0113465608498848	0.026513809411296
C1orf112	ENSG00000000460	0.59311758941617	-0.00513461302808012	0.009609266674504	0.532267359888724	-0.00603303447195801	-0.0249614578324082	0.0128997131275603
FGR	ENSG00000000938	0.749627516142536	-0.00306666261998574	0.00960918270715463	0.804004509618415	-0.00239727843903625	-0.0213275848020221	0.0165347462504012
CFH	ENSG00000000971	0.219129537943829	0.0118130285849021	0.00961254420382826	0.124222369062755	0.0148492768966527	-0.00408314522390466	0.0337710576052024
FUCA2	ENSG00000001036	0.658089293850906	0.00425259527955806	0.00960897200712362	0.655643797707884	0.00430768166974348	-0.0146247852642708	0.0232370609738613
GCLC	ENSG00000001084	0.313346269783705	-0.0096927739417179	0.00961324522288191	0.182207431946079	-0.0128856925336127	-0.0318092071977422	0.00604705688523475
NFYA	ENSG00000001167	0.369557653330302	0.00862184788003296	0.00960822818249181	0.381961217185345	0.0084450110908726	-0.0104870566861445	0.0273710265959105
STPG1	ENSG00000001460	0.0825908816819351	0.0166794427746114	0.00960792088084122	0.101157548889536	0.0158342003383197	-0.00309800260805825	0.0347550563915578
NIPAL3	ENSG00000001461	0.570399732392909	0.00545285526872285	0.0096088875363838	0.586814000368185	0.00524973148768262	-0.0136829026595668	0.0241786028030328
ENPP4	ENSG00000001561	0.309437265440026	-0.00976680170289649	0.0096087215056196	0.342276326822527	-0.00917361192485653	-0.0281000061325877	0.00975935724898543
SEMA3F	ENSG00000001617	0.654102449927279	-0.00430737544635048	0.00961289921777412	0.90194255915771	-0.00119012138255507	-0.0201200593273239	0.0177406695441189
CFTR	ENSG00000001626	0.310162441349098	0.0097529974100399	0.00960953377667507	0.233139416959762	0.0115167069336741	-0.00741530095776838	0.0304404616719521
ANKIB1	ENSG00000001629	0.651566964468287	0.00434074885455017	0.00961195218169086	0.462467685848684	0.00709758728588966	-0.0118343940234331	0.0260244818727031
CYP51A1	ENSG00000001630	0.130538787126522	-0.0145282281576798	0.0096080028879624	0.136013603313502	-0.0144002766629283	-0.0333224667232845	0.00453223317867268
KRIT1	ENSG00000001631	0.503569778495387	-0.00642848726345475	0.0096104477418109	0.6383689800244	-0.00453995007603133	-0.0234692072513253	0.0143925612061955
RAD52	ENSG00000002016	0.700909310925903	0.00369105037563767	0.00960951867786388	0.789331358035603	0.00258092320977253	-0.0163511499943086	0.0215111464557946
BAD	ENSG00000002330	0.866122432604958	0.00162015147183204	0.00961001685881919	0.746279309918909	0.00312545220559625	-0.0158067573453479	0.0220554214971192
LAP3	ENSG00000002549	0.956590395839704	-0.000523122375880914	0.00961021158596477	0.911347592223808	0.00107552473022544	-0.0178561131232435	0.0200063916632024
CD99	ENSG00000002586	0.0253874870046373	0.021489196457125	0.00961155066689825	0.0105521176814086	0.0246984944597409	0.00576991803905108	0.0436093781337371
HS3ST1	ENSG00000002587	0.541417084551399	-0.00586971204487905	0.0096115901307893	0.738701268224807	-0.00322213643918686	-0.0221511765382106	0.0157092130036449
AOC1	ENSG00000002726	0.0876899416276465	0.0164081034592159	0.00960736475904978	0.0987609108615989	0.0159457130593195	-0.00298557940236856	0.034865579823575
WNT16	ENSG00000002745	0.205749948456812	0.0121582008419922	0.00960807039255807	0.192673477001208	0.0125835845452183	-0.00634920226682908	0.0315073530440924
MAD1L1	ENSG00000002822	0.0343446779581264	0.020337594152729	0.00961010438506058	0.0694452958845286	0.0175355316165795	-0.0013953228059777	0.036453821846229
LASP1	ENSG00000002834	0.61312233677288	0.00485909606096275	0.00960986242489188	0.511421459915821	0.00634289012584096	-0.0125898959403734	0.0252711298782114
SNX11	ENSG00000002919	0.485321957009806	0.00670499752098712	0.00960886677884302	0.513432684372646	0.00631271418278089	-0.0126200682970452	0.0252409719758681
TMEM176A	ENSG00000002933	0.187735125151464	0.0126593214363689	0.00960937431258811	0.132859277358664	0.0145166591808254	-0.00441494531171165	0.0334378614935056
M6PR	ENSG00000003056	0.731579431382614	-0.00329692903230258	0.0096110786085114	0.905204033921732	-0.00115039968984452	-0.0200812366341799	0.017781261844128
KLHL13	ENSG00000003096	0.851939310111327	-0.00179343926577542	0.00960861526434488	0.881271699296642	-0.00144271151083536	-0.0203725463532291	0.0174881573487713
ICA1	ENSG00000003147	0.0103857662670603	-0.0246224326027908	0.00960625683833014	0.00897516237263144	-0.0252373383318385	-0.0441475200357853	-0.00630907836740111
DBNDD1	ENSG00000003249	0.628144973034739	-0.00465589594983647	0.0096126006619244	0.851276057422874	-0.00181114186024158	-0.0207417049689625	0.0171207194458809
ALS2	ENSG00000003393	0.953465817175757	0.000560868082793253	0.00961107798005325	0.781136804261012	0.00268388686402788	-0.0162482129820897	0.0216140629506843
CASP10	ENSG00000003400	0.0738426297310524	0.0171775583283684	0.00960841343742321	0.0552124517893984	0.018518415878335	-0.000413003195364417	0.0374365657557404
TFPI	ENSG00000003436	0.245988399344292	-0.0111493869870859	0.00960978524018469	0.329044469728649	-0.00942826184280499	-0.0283544751647676	0.00950470892748236
NDUFAF7	ENSG00000003509	0.417008892269633	-0.00779889325720778	0.00960865648154822	0.367299220130945	-0.00870826996144458	-0.0276341056915738	0.0102238066817839
RBM5	ENSG00000003756	0.85965172422399	0.00169913872616596	0.00960932951723269	0.936625662546192	0.000768076076761536	-0.0181634623161394	0.0196990639235841
MTMR7	ENSG00000003987	0.00167754775986011	0.0301863425122853	0.00960469786458518	0.0015175025346168	0.0306274664320006	0.0117029777328709	0.0495300223688142
SLC7A2	ENSG00000003989	0.0180950720848346	0.0227148531165562	0.00960852922481928	0.00955943138813315	0.0250273495038635	0.00609984823591069	0.0439369244157838
ARF5	ENSG00000004059	0.00067554624537625	0.0326559498525413	0.00960381003778496	0.000808297743698593	0.0323516580105065	0.013428608186323	0.0512515428715472
SARM1	ENSG00000004139	0.636047129372055	-0.00454765784178759	0.00960949535337302	0.723714234702644	-0.00341476384506339	-0.022344593644431	0.015517513581688
POLDIP2	ENSG00000004142	0.0948884493927912	-0.0160482725068261	0.00960799539050514	0.117422065590355	-0.0151235394203827	-0.0340450663340487	0.00380882536049588
PLXND1	ENSG00000004399	0.139770701773635	-0.0141892154785292	0.00960837460826286	0.167955186431116	-0.0133185454264282	-0.0322416903863527	0.00561414439149267
CD38	ENSG00000004468	0.987761071863932	-0.00014741373952565	0.00960964786530585	0.915251578958998	0.0010279785085733	-0.0179036441974191	0.0199588643744406
FKBP4	ENSG00000004478	0.0838700292451142	-0.0166101889750311	0.0096078158635469	0.0759758761135542	-0.0171405375417208	-0.0360601106006572	0.00179131801122434
KDM1A	ENSG00000004487	0.0167611704839142	-0.0229816048890501	0.00960656852536431	0.0155067570334365	-0.0233769241216821	-0.042289482985318	-0.00444761815297549
RBM6	ENSG00000004534	0.442030566802073	0.00738932945559928	0.00961154390062938	0.606591409275369	0.00497429719004347	-0.0139582915434542	0.0239033205036947
CAMKK1	ENSG00000004660	0.871059809474528	-0.00155971855756961	0.00960912852391878	0.830526212460399	-0.00206747881460254	-0.0209979312395863	0.0168644555445224
RECQL	ENSG00000004700	0.0878459295216077	-0.0164006362416827	0.00960771703978496	0.0878088099765882	-0.0164890502063988	-0.0354092711773932	0.00244298667741643
VPS50	ENSG00000004766	0.820657055288454	-0.00217841286498124	0.00960899770746882	0.818293052596502	-0.00221927663863684	-0.0211496623465241	0.0167126998084913
ARHGAP33	ENSG00000004777	0.412026309471318	-0.00788351411771747	0.00960976409571365	0.330767817581548	-0.00939472603879785	-0.0283209633225419	0.00953824466165164
NDUFAB1	ENSG00000004779	0.00137761385167557	-0.030734101074416	0.00960398805040739	0.00148087607481908	-0.0306944736276377	-0.0495960466672894	-0.011770921981759
PDK4	ENSG00000004799	0.682465245223262	0.00393169838336735	0.00961030996129627	0.55773320483897	0.0056627133396354	-0.013269983518364	0.0245913513724463
ARX	ENSG00000004848	0.541944662424496	0.0058613104304269	0.0096103685594684	0.444508342854307	0.0073858969908287	-0.0115469918450515	0.0263134920056894
SLC25A13	ENSG00000004864	0.103153043753266	-0.015660286576968	0.00960815565893416	0.0874399913052719	-0.0165082493447099	-0.0354284514514422	0.00242378242528832
ST7	ENSG00000004866	0.535930045593899	-0.00594957518956642	0.00961160403665345	0.384307938497426	-0.00840384856188151	-0.0273307746411168	0.0105291008555295
CDC27	ENSG00000004897	0.238389677905283	0.0113286192911587	0.00960795811720387	0.235979454452395	0.0114470240004758	-0.00748498921046678	0.0303708339816203
SLC4A1	ENSG00000004939	0.14065798768566	0.0141565728421714	0.0096077457396042	0.127551889162141	0.0147185641388095	-0.00421300096087947	0.0336395824421666
HCCS	ENSG00000004961	0.66009312880113	-0.00422594769152058	0.00960886336188906	0.595105195588074	-0.00513351587843335	-0.0240615688269804	0.0137982162637364
DVL2	ENSG00000004975	0.582234715584886	-0.00528708591487663	0.00961043454724876	0.721717995244457	-0.00344050229411602	-0.0223703195302138	0.015491781017683
UPF1	ENSG00000005007	0.825895296842054	-0.00211400042139394	0.00961021193695778	0.983114482192591	-0.000204437232089214	-0.0191347544180292	0.0187260264779801
SKAP2	ENSG00000005020	0.392637198738298	-0.00821472194893506	0.00960922080729296	0.456485475174324	-0.00719313192378988	-0.0261208491973345	0.0117397410214361
SLC25A5	ENSG00000005022	0.0175833800617051	-0.0228197696793555	0.0096097639431248	0.00902827940667848	-0.025217860309707	-0.0441280675795011	-0.00628958871435445
MCUB	ENSG00000005059	0.0192478640540209	0.0224899863860592	0.00960679770201012	0.016352897862793	0.0231897948439809	0.0042603909240926	0.0421025855724323
HOXA11	ENSG00000005073	0.627143679733175	-0.00466768783022137	0.00960894100725316	0.646398411951022	-0.0044316720799004	-0.0233609864427474	0.0145008187823799
MEOX1	ENSG00000005102	0.405048741458123	-0.0080013066900192	0.00960920298139756	0.471204881591218	-0.006960081172477	-0.0258879443781277	0.0119727706823607
THSD7A	ENSG00000005108	0.645323756037507	0.00442348988665493	0.00961040817670388	0.502331177619656	0.0064797580430366	-0.0124521606321232	0.0254070327446643
LIG3	ENSG00000005156	0.859243494462236	-0.00170407168194352	0.0096089834056064	0.855550529414767	-0.00175850033445979	-0.0206890858654901	0.0171733456616084
